FID,Id,Tipo,Eje_X,Eje_Y,RASTERVALU
0,0,Borde_Area_Estudio,727840.7057,4360436.5533,-9999.0
1,1,Borde_Area_Estudio,727850.7057,4360436.5533,-9999.0
2,2,Borde_Area_Estudio,727860.7057,4360436.5533,-9999.0
3,3,Borde_Area_Estudio,727870.7057,4360436.5533,-9999.0
4,4,Borde_Area_Estudio,727880.7057,4360436.5533,-9999.0
5,5,Borde_Area_Estudio,727810.7057,4360446.5533,-9999.0
6,6,Borde_Area_Estudio,727820.7057,4360446.5533,-9999.0
7,7,Borde_Area_Estudio,727830.7057,4360446.5533,0.3078179955482483
8,8,Borde_Area_Estudio,727840.7057,4360446.5533,0.3074429929256439
9,9,Borde_Area_Estudio,727850.7057,4360446.5533,0.3090369999408722
10,10,Borde_Area_Estudio,727860.7057,4360446.5533,0.3071559965610504
11,11,Borde_Area_Estudio,727870.7057,4360446.5533,0.3135629892349243
12,12,Borde_Area_Estudio,727880.7057,4360446.5533,-9999.0
13,13,Borde_Area_Estudio,727890.7057,4360446.5533,-9999.0
14,14,Borde_Area_Estudio,727900.7057,4360446.5533,-9999.0
15,15,Borde_Area_Estudio,727790.7057,4360456.5533,-9999.0
16,16,Borde_Area_Estudio,727800.7057,4360456.5533,-9999.0
17,17,Borde_Area_Estudio,727810.7057,4360456.5533,0.30688899755477905
18,18,Borde_Area_Estudio,727820.7057,4360456.5533,0.3080480098724365
19,19,Borde_Area_Estudio,727830.7057,4360456.5533,0.3128269910812378
20,20,Borde_Area_Estudio,727840.7057,4360456.5533,0.31283101439476013
21,21,Borde_Area_Estudio,727850.7057,4360456.5533,0.31139400601387024
22,22,Borde_Area_Estudio,727860.7057,4360456.5533,0.31033599376678467
23,23,Borde_Area_Estudio,727870.7057,4360456.5533,0.3115459978580475
24,24,Borde_Area_Estudio,727880.7057,4360456.5533,0.316895991563797
25,25,Borde_Area_Estudio,727890.7057,4360456.5533,0.31412699818611145
26,26,Borde_Area_Estudio,727900.7057,4360456.5533,-9999.0
27,27,Borde_Area_Estudio,727910.7057,4360456.5533,-9999.0
28,28,Borde_Area_Estudio,727780.7057,4360466.5533,-9999.0
29,29,Borde_Area_Estudio,727790.7057,4360466.5533,0.3075140118598938
30,30,Borde_Area_Estudio,727800.7057,4360466.5533,0.30601900815963745
31,31,Borde_Area_Estudio,727810.7057,4360466.5533,0.316428005695343
32,32,Borde_Area_Estudio,727820.7057,4360466.5533,0.30701500177383423
33,33,Borde_Area_Estudio,727830.7057,4360466.5533,0.31129199266433716
34,34,Borde_Area_Estudio,727840.7057,4360466.5533,0.3085179924964905
35,35,Borde_Area_Estudio,727850.7057,4360466.5533,0.30882999300956726
36,36,Borde_Area_Estudio,727860.7057,4360466.5533,0.3089039921760559
37,37,Borde_Area_Estudio,727870.7057,4360466.5533,0.3057590126991272
38,38,Borde_Area_Estudio,727880.7057,4360466.5533,0.32140299677848816
39,39,Borde_Area_Estudio,727890.7057,4360466.5533,0.3179509937763214
40,40,Borde_Area_Estudio,727900.7057,4360466.5533,0.42904698848724365
41,41,Borde_Area_Estudio,727910.7057,4360466.5533,-9999.0
42,42,Borde_Area_Estudio,727920.7057,4360466.5533,-9999.0
43,43,Borde_Area_Estudio,727770.7057,4360476.5533,-9999.0
44,44,Borde_Area_Estudio,727780.7057,4360476.5533,0.30609700083732605
45,45,Borde_Area_Estudio,727790.7057,4360476.5533,0.3130199909210205
46,46,Borde_Area_Estudio,727800.7057,4360476.5533,0.30811598896980286
47,47,Borde_Area_Estudio,727810.7057,4360476.5533,0.3079580068588257
48,48,Borde_Area_Estudio,727820.7057,4360476.5533,0.3071320056915283
49,49,Borde_Area_Estudio,727830.7057,4360476.5533,0.3063180148601532
50,50,Borde_Area_Estudio,727840.7057,4360476.5533,0.3078570067882538
51,51,Borde_Area_Estudio,727850.7057,4360476.5533,0.3127020001411438
52,52,Borde_Area_Estudio,727860.7057,4360476.5533,0.3028540015220642
53,53,Borde_Area_Estudio,727870.7057,4360476.5533,0.3109540045261383
54,54,Borde_Area_Estudio,727880.7057,4360476.5533,0.3147929906845093
55,55,Borde_Area_Estudio,727890.7057,4360476.5533,0.42963701486587524
56,56,Borde_Area_Estudio,727900.7057,4360476.5533,0.6050570011138916
57,57,Borde_Area_Estudio,727910.7057,4360476.5533,0.4338040053844452
58,58,Borde_Area_Estudio,727920.7057,4360476.5533,-9999.0
59,59,Borde_Area_Estudio,727930.7057,4360476.5533,-9999.0
60,60,Borde_Area_Estudio,727940.7057,4360476.5533,-9999.0
61,61,Borde_Area_Estudio,727760.7057,4360486.5533,-9999.0
62,62,Borde_Area_Estudio,727770.7057,4360486.5533,0.3088110089302063
63,63,Borde_Area_Estudio,727780.7057,4360486.5533,0.3076399862766266
64,64,Borde_Area_Estudio,727790.7057,4360486.5533,0.30334600806236267
65,65,Borde_Area_Estudio,727800.7057,4360486.5533,0.3040280044078827
66,66,Borde_Area_Estudio,727810.7057,4360486.5533,0.3043630123138428
67,67,Borde_Area_Estudio,727820.7057,4360486.5533,0.309689998626709
68,68,Borde_Area_Estudio,727830.7057,4360486.5533,0.3066290020942688
69,69,Borde_Area_Estudio,727840.7057,4360486.5533,0.30344098806381226
70,70,Borde_Area_Estudio,727850.7057,4360486.5533,0.3083899915218353
71,71,Borde_Area_Estudio,727860.7057,4360486.5533,0.30417901277542114
72,72,Borde_Area_Estudio,727870.7057,4360486.5533,0.31917500495910645
73,73,Borde_Area_Estudio,727880.7057,4360486.5533,0.3841249942779541
74,74,Borde_Area_Estudio,727890.7057,4360486.5533,0.5249119997024536
75,75,Borde_Area_Estudio,727900.7057,4360486.5533,0.5837680101394653
76,76,Borde_Area_Estudio,727910.7057,4360486.5533,0.45809999108314514
77,77,Borde_Area_Estudio,727920.7057,4360486.5533,0.3627359867095947
78,78,Borde_Area_Estudio,727930.7057,4360486.5533,0.3223409950733185
79,79,Borde_Area_Estudio,727940.7057,4360486.5533,-9999.0
80,80,Borde_Area_Estudio,727950.7057,4360486.5533,-9999.0
81,81,Borde_Area_Estudio,727750.7057,4360496.5533,-9999.0
82,82,Borde_Area_Estudio,727760.7057,4360496.5533,0.3106589913368225
83,83,Borde_Area_Estudio,727770.7057,4360496.5533,0.3105280101299286
84,84,Borde_Area_Estudio,727780.7057,4360496.5533,0.31484299898147583
85,85,Borde_Area_Estudio,727790.7057,4360496.5533,0.3128719925880432
86,86,Borde_Area_Estudio,727800.7057,4360496.5533,0.3107919991016388
87,87,Borde_Area_Estudio,727810.7057,4360496.5533,0.3121269941329956
88,88,Borde_Area_Estudio,727820.7057,4360496.5533,0.31068798899650574
89,89,Borde_Area_Estudio,727830.7057,4360496.5533,0.3100230097770691
90,90,Borde_Area_Estudio,727840.7057,4360496.5533,0.3100639879703522
91,91,Borde_Area_Estudio,727850.7057,4360496.5533,0.3065429925918579
92,92,Borde_Area_Estudio,727860.7057,4360496.5533,0.3321000039577484
93,93,Borde_Area_Estudio,727870.7057,4360496.5533,0.5054849982261658
94,94,Borde_Area_Estudio,727880.7057,4360496.5533,0.6504799723625183
95,95,Borde_Area_Estudio,727890.7057,4360496.5533,0.46225500106811523
96,96,Borde_Area_Estudio,727900.7057,4360496.5533,0.470553994178772
97,97,Borde_Area_Estudio,727910.7057,4360496.5533,0.41352999210357666
98,98,Borde_Area_Estudio,727920.7057,4360496.5533,0.32544800639152527
99,99,Borde_Area_Estudio,727930.7057,4360496.5533,0.2926369905471802
100,100,Borde_Area_Estudio,727940.7057,4360496.5533,0.3132599890232086
101,101,Borde_Area_Estudio,727950.7057,4360496.5533,-9999.0
102,102,Borde_Area_Estudio,727960.7057,4360496.5533,-9999.0
103,103,Borde_Area_Estudio,727740.7057,4360506.5533,-9999.0
104,104,Borde_Area_Estudio,727750.7057,4360506.5533,0.3096509873867035
105,105,Borde_Area_Estudio,727760.7057,4360506.5533,0.30863499641418457
106,106,Borde_Area_Estudio,727770.7057,4360506.5533,0.30796900391578674
107,107,Borde_Area_Estudio,727780.7057,4360506.5533,0.31185799837112427
108,108,Borde_Area_Estudio,727790.7057,4360506.5533,0.31415000557899475
109,109,Borde_Area_Estudio,727800.7057,4360506.5533,0.30713599920272827
110,110,Borde_Area_Estudio,727810.7057,4360506.5533,0.30528900027275085
111,111,Borde_Area_Estudio,727820.7057,4360506.5533,0.3033140003681183
112,112,Borde_Area_Estudio,727830.7057,4360506.5533,0.31014299392700195
113,113,Borde_Area_Estudio,727840.7057,4360506.5533,0.30439698696136475
114,114,Borde_Area_Estudio,727850.7057,4360506.5533,0.29830101132392883
115,115,Borde_Area_Estudio,727860.7057,4360506.5533,0.49880701303482056
116,116,Borde_Area_Estudio,727870.7057,4360506.5533,0.6355980038642883
117,117,Borde_Area_Estudio,727880.7057,4360506.5533,0.4899330139160156
118,118,Borde_Area_Estudio,727890.7057,4360506.5533,0.364749014377594
119,119,Borde_Area_Estudio,727900.7057,4360506.5533,0.34760698676109314
120,120,Borde_Area_Estudio,727910.7057,4360506.5533,0.3335219919681549
121,121,Borde_Area_Estudio,727920.7057,4360506.5533,0.31862199306488037
122,122,Borde_Area_Estudio,727930.7057,4360506.5533,0.311585009098053
123,123,Borde_Area_Estudio,727940.7057,4360506.5533,0.3193179965019226
124,124,Borde_Area_Estudio,727950.7057,4360506.5533,0.3179349899291992
125,125,Borde_Area_Estudio,727960.7057,4360506.5533,-9999.0
126,126,Borde_Area_Estudio,727970.7057,4360506.5533,-9999.0
127,127,Borde_Area_Estudio,727730.7057,4360516.5533,-9999.0
128,128,Borde_Area_Estudio,727740.7057,4360516.5533,0.3106659948825836
129,129,Borde_Area_Estudio,727750.7057,4360516.5533,0.3103179931640625
130,130,Borde_Area_Estudio,727760.7057,4360516.5533,0.30925899744033813
131,131,Borde_Area_Estudio,727770.7057,4360516.5533,0.308135986328125
132,132,Borde_Area_Estudio,727780.7057,4360516.5533,0.30983901023864746
133,133,Borde_Area_Estudio,727790.7057,4360516.5533,0.3143079876899719
134,134,Borde_Area_Estudio,727800.7057,4360516.5533,0.310573011636734
135,135,Borde_Area_Estudio,727810.7057,4360516.5533,0.31092798709869385
136,136,Borde_Area_Estudio,727820.7057,4360516.5533,0.30810099840164185
137,137,Borde_Area_Estudio,727830.7057,4360516.5533,0.3102540075778961
138,138,Borde_Area_Estudio,727840.7057,4360516.5533,0.3004400134086609
139,139,Borde_Area_Estudio,727850.7057,4360516.5533,0.39134299755096436
140,140,Borde_Area_Estudio,727860.7057,4360516.5533,0.5801669955253601
141,141,Borde_Area_Estudio,727870.7057,4360516.5533,0.48682400584220886
142,142,Borde_Area_Estudio,727880.7057,4360516.5533,0.3984520137310028
143,143,Borde_Area_Estudio,727890.7057,4360516.5533,0.3575440049171448
144,144,Borde_Area_Estudio,727900.7057,4360516.5533,0.30001598596572876
145,145,Borde_Area_Estudio,727910.7057,4360516.5533,0.31652799248695374
146,146,Borde_Area_Estudio,727920.7057,4360516.5533,0.31627699732780457
147,147,Borde_Area_Estudio,727930.7057,4360516.5533,0.31708499789237976
148,148,Borde_Area_Estudio,727940.7057,4360516.5533,0.3189989924430847
149,149,Borde_Area_Estudio,727950.7057,4360516.5533,0.31653499603271484
150,150,Borde_Area_Estudio,727960.7057,4360516.5533,0.3200100064277649
