FID,Id,Tipo,Eje_X,Eje_Y,RASTERVALU
0,0,Borde_Area_Estudio,727840.7057,4360436.5533,-9999.0
1,1,Borde_Area_Estudio,727850.7057,4360436.5533,-9999.0
2,2,Borde_Area_Estudio,727860.7057,4360436.5533,-9999.0
3,3,Borde_Area_Estudio,727870.7057,4360436.5533,-9999.0
4,4,Borde_Area_Estudio,727880.7057,4360436.5533,-9999.0
5,5,Borde_Area_Estudio,727810.7057,4360446.5533,-9999.0
6,6,Borde_Area_Estudio,727820.7057,4360446.5533,-9999.0
7,7,Borde_Area_Estudio,727830.7057,4360446.5533,-9999.0
8,8,Borde_Area_Estudio,727840.7057,4360446.5533,-9999.0
9,9,Borde_Area_Estudio,727850.7057,4360446.5533,-9999.0
10,10,Borde_Area_Estudio,727860.7057,4360446.5533,-9999.0
11,11,Borde_Area_Estudio,727870.7057,4360446.5533,-9999.0
12,12,Borde_Area_Estudio,727880.7057,4360446.5533,-9999.0
13,13,Borde_Area_Estudio,727890.7057,4360446.5533,-9999.0
14,14,Borde_Area_Estudio,727900.7057,4360446.5533,-9999.0
15,15,Borde_Area_Estudio,727790.7057,4360456.5533,-9999.0
16,16,Borde_Area_Estudio,727800.7057,4360456.5533,-9999.0
17,17,Borde_Area_Estudio,727810.7057,4360456.5533,-9999.0
18,18,Borde_Area_Estudio,727820.7057,4360456.5533,-9999.0
19,19,Borde_Area_Estudio,727830.7057,4360456.5533,0.00964417029172182
20,20,Borde_Area_Estudio,727840.7057,4360456.5533,0.004869480151683092
21,21,Borde_Area_Estudio,727850.7057,4360456.5533,0.0039047799073159695
22,22,Borde_Area_Estudio,727860.7057,4360456.5533,0.00347036006860435
23,23,Borde_Area_Estudio,727870.7057,4360456.5533,0.029794100672006607
24,24,Borde_Area_Estudio,727880.7057,4360456.5533,-9999.0
25,25,Borde_Area_Estudio,727890.7057,4360456.5533,-9999.0
26,26,Borde_Area_Estudio,727900.7057,4360456.5533,-9999.0
27,27,Borde_Area_Estudio,727910.7057,4360456.5533,-9999.0
28,28,Borde_Area_Estudio,727780.7057,4360466.5533,-9999.0
29,29,Borde_Area_Estudio,727790.7057,4360466.5533,-9999.0
30,30,Borde_Area_Estudio,727800.7057,4360466.5533,-9999.0
31,31,Borde_Area_Estudio,727810.7057,4360466.5533,0.0029771800618618727
32,32,Borde_Area_Estudio,727820.7057,4360466.5533,0.006740270182490349
33,33,Borde_Area_Estudio,727830.7057,4360466.5533,0.014851399697363377
34,34,Borde_Area_Estudio,727840.7057,4360466.5533,0.010849700309336185
35,35,Borde_Area_Estudio,727850.7057,4360466.5533,0.008536440320312977
36,36,Borde_Area_Estudio,727860.7057,4360466.5533,0.011612099595367908
37,37,Borde_Area_Estudio,727870.7057,4360466.5533,0.032092999666929245
38,38,Borde_Area_Estudio,727880.7057,4360466.5533,0.13102799654006958
39,39,Borde_Area_Estudio,727890.7057,4360466.5533,0.5178819894790649
40,40,Borde_Area_Estudio,727900.7057,4360466.5533,-9999.0
41,41,Borde_Area_Estudio,727910.7057,4360466.5533,-9999.0
42,42,Borde_Area_Estudio,727920.7057,4360466.5533,-9999.0
43,43,Borde_Area_Estudio,727770.7057,4360476.5533,-9999.0
44,44,Borde_Area_Estudio,727780.7057,4360476.5533,-9999.0
45,45,Borde_Area_Estudio,727790.7057,4360476.5533,0.00976030994206667
46,46,Borde_Area_Estudio,727800.7057,4360476.5533,0.014478599652647972
47,47,Borde_Area_Estudio,727810.7057,4360476.5533,0.01712460070848465
48,48,Borde_Area_Estudio,727820.7057,4360476.5533,0.009263100102543831
49,49,Borde_Area_Estudio,727830.7057,4360476.5533,0.008724959567189217
50,50,Borde_Area_Estudio,727840.7057,4360476.5533,0.013931600376963615
51,51,Borde_Area_Estudio,727850.7057,4360476.5533,0.00994959007948637
52,52,Borde_Area_Estudio,727860.7057,4360476.5533,0.003937439993023872
53,53,Borde_Area_Estudio,727870.7057,4360476.5533,0.10311000049114227
54,54,Borde_Area_Estudio,727880.7057,4360476.5533,0.4094710052013397
55,55,Borde_Area_Estudio,727890.7057,4360476.5533,0.7801920175552368
56,56,Borde_Area_Estudio,727900.7057,4360476.5533,0.3047879934310913
57,57,Borde_Area_Estudio,727910.7057,4360476.5533,-9999.0
58,58,Borde_Area_Estudio,727920.7057,4360476.5533,-9999.0
59,59,Borde_Area_Estudio,727930.7057,4360476.5533,-9999.0
60,60,Borde_Area_Estudio,727940.7057,4360476.5533,-9999.0
61,61,Borde_Area_Estudio,727760.7057,4360486.5533,-9999.0
62,62,Borde_Area_Estudio,727770.7057,4360486.5533,-9999.0
63,63,Borde_Area_Estudio,727780.7057,4360486.5533,0.01977279968559742
64,64,Borde_Area_Estudio,727790.7057,4360486.5533,0.010365400463342667
65,65,Borde_Area_Estudio,727800.7057,4360486.5533,0.0072363801300525665
66,66,Borde_Area_Estudio,727810.7057,4360486.5533,0.012752699665725231
67,67,Borde_Area_Estudio,727820.7057,4360486.5533,0.010747699998319149
68,68,Borde_Area_Estudio,727830.7057,4360486.5533,0.012955299578607082
69,69,Borde_Area_Estudio,727840.7057,4360486.5533,0.004811559803783894
70,70,Borde_Area_Estudio,727850.7057,4360486.5533,0.019066600129008293
71,71,Borde_Area_Estudio,727860.7057,4360486.5533,0.23623499274253845
72,72,Borde_Area_Estudio,727870.7057,4360486.5533,0.6440790295600891
73,73,Borde_Area_Estudio,727880.7057,4360486.5533,0.7318990230560303
74,74,Borde_Area_Estudio,727890.7057,4360486.5533,0.4118509888648987
75,75,Borde_Area_Estudio,727900.7057,4360486.5533,0.2237740010023117
76,76,Borde_Area_Estudio,727910.7057,4360486.5533,0.5472069978713989
77,77,Borde_Area_Estudio,727920.7057,4360486.5533,-9999.0
78,78,Borde_Area_Estudio,727930.7057,4360486.5533,-9999.0
79,79,Borde_Area_Estudio,727940.7057,4360486.5533,-9999.0
80,80,Borde_Area_Estudio,727950.7057,4360486.5533,-9999.0
81,81,Borde_Area_Estudio,727750.7057,4360496.5533,-9999.0
82,82,Borde_Area_Estudio,727760.7057,4360496.5533,-9999.0
83,83,Borde_Area_Estudio,727770.7057,4360496.5533,0.004219059832394123
84,84,Borde_Area_Estudio,727780.7057,4360496.5533,0.013733300380408764
85,85,Borde_Area_Estudio,727790.7057,4360496.5533,0.023832499980926514
86,86,Borde_Area_Estudio,727800.7057,4360496.5533,0.014487399719655514
87,87,Borde_Area_Estudio,727810.7057,4360496.5533,0.0015474599786102772
88,88,Borde_Area_Estudio,727820.7057,4360496.5533,0.006307799834758043
89,89,Borde_Area_Estudio,727830.7057,4360496.5533,0.004735860042273998
90,90,Borde_Area_Estudio,727840.7057,4360496.5533,0.01265340019017458
91,91,Borde_Area_Estudio,727850.7057,4360496.5533,0.21244999766349792
92,92,Borde_Area_Estudio,727860.7057,4360496.5533,0.7304499745368958
93,93,Borde_Area_Estudio,727870.7057,4360496.5533,0.8388519883155823
94,94,Borde_Area_Estudio,727880.7057,4360496.5533,0.28495699167251587
95,95,Borde_Area_Estudio,727890.7057,4360496.5533,0.38875100016593933
96,96,Borde_Area_Estudio,727900.7057,4360496.5533,0.5599730014801025
97,97,Borde_Area_Estudio,727910.7057,4360496.5533,0.541716992855072
98,98,Borde_Area_Estudio,727920.7057,4360496.5533,0.3278599977493286
99,99,Borde_Area_Estudio,727930.7057,4360496.5533,0.06723760068416595
100,100,Borde_Area_Estudio,727940.7057,4360496.5533,-9999.0
101,101,Borde_Area_Estudio,727950.7057,4360496.5533,-9999.0
102,102,Borde_Area_Estudio,727960.7057,4360496.5533,-9999.0
103,103,Borde_Area_Estudio,727740.7057,4360506.5533,-9999.0
104,104,Borde_Area_Estudio,727750.7057,4360506.5533,-9999.0
105,105,Borde_Area_Estudio,727760.7057,4360506.5533,0.0007984500261954963
106,106,Borde_Area_Estudio,727770.7057,4360506.5533,0.011343000456690788
107,107,Borde_Area_Estudio,727780.7057,4360506.5533,0.01688919961452484
108,108,Borde_Area_Estudio,727790.7057,4360506.5533,0.009293200448155403
109,109,Borde_Area_Estudio,727800.7057,4360506.5533,0.01564740017056465
110,110,Borde_Area_Estudio,727810.7057,4360506.5533,0.008213830180466175
111,111,Borde_Area_Estudio,727820.7057,4360506.5533,0.006632050033658743
112,112,Borde_Area_Estudio,727830.7057,4360506.5533,0.009487399831414223
113,113,Borde_Area_Estudio,727840.7057,4360506.5533,0.06092020124197006
114,114,Borde_Area_Estudio,727850.7057,4360506.5533,0.5744600296020508
115,115,Borde_Area_Estudio,727860.7057,4360506.5533,0.8023269772529602
116,116,Borde_Area_Estudio,727870.7057,4360506.5533,0.09015409648418427
117,117,Borde_Area_Estudio,727880.7057,4360506.5533,0.6808300018310547
118,118,Borde_Area_Estudio,727890.7057,4360506.5533,0.6061670184135437
119,119,Borde_Area_Estudio,727900.7057,4360506.5533,0.40373000502586365
120,120,Borde_Area_Estudio,727910.7057,4360506.5533,0.2992280125617981
121,121,Borde_Area_Estudio,727920.7057,4360506.5533,0.13442200422286987
122,122,Borde_Area_Estudio,727930.7057,4360506.5533,0.033070698380470276
123,123,Borde_Area_Estudio,727940.7057,4360506.5533,0.03646250069141388
124,124,Borde_Area_Estudio,727950.7057,4360506.5533,-9999.0
125,125,Borde_Area_Estudio,727960.7057,4360506.5533,-9999.0
126,126,Borde_Area_Estudio,727970.7057,4360506.5533,-9999.0
127,127,Borde_Area_Estudio,727730.7057,4360516.5533,-9999.0
128,128,Borde_Area_Estudio,727740.7057,4360516.5533,-9999.0
129,129,Borde_Area_Estudio,727750.7057,4360516.5533,0.014241400174796581
130,130,Borde_Area_Estudio,727760.7057,4360516.5533,0.002252239966765046
131,131,Borde_Area_Estudio,727770.7057,4360516.5533,0.013898399658501148
132,132,Borde_Area_Estudio,727780.7057,4360516.5533,0.012005399912595749
133,133,Borde_Area_Estudio,727790.7057,4360516.5533,0.006755779962986708
134,134,Borde_Area_Estudio,727800.7057,4360516.5533,0.013424700126051903
135,135,Borde_Area_Estudio,727810.7057,4360516.5533,0.010474099777638912
136,136,Borde_Area_Estudio,727820.7057,4360516.5533,0.0031701698899269104
137,137,Borde_Area_Estudio,727830.7057,4360516.5533,0.030525900423526764
138,138,Borde_Area_Estudio,727840.7057,4360516.5533,0.292510986328125
139,139,Borde_Area_Estudio,727850.7057,4360516.5533,0.6311450004577637
140,140,Borde_Area_Estudio,727860.7057,4360516.5533,0.3523240089416504
141,141,Borde_Area_Estudio,727870.7057,4360516.5533,0.6340569853782654
142,142,Borde_Area_Estudio,727880.7057,4360516.5533,0.576570987701416
143,143,Borde_Area_Estudio,727890.7057,4360516.5533,0.3126929998397827
144,144,Borde_Area_Estudio,727900.7057,4360516.5533,0.1148419976234436
145,145,Borde_Area_Estudio,727910.7057,4360516.5533,0.03803420066833496
146,146,Borde_Area_Estudio,727920.7057,4360516.5533,0.014169099740684032
147,147,Borde_Area_Estudio,727930.7057,4360516.5533,0.0145560996606946
148,148,Borde_Area_Estudio,727940.7057,4360516.5533,0.007159189786761999
149,149,Borde_Area_Estudio,727950.7057,4360516.5533,0.0027979000005871058
150,150,Borde_Area_Estudio,727960.7057,4360516.5533,-9999.0
151,151,Borde_Area_Estudio,727970.7057,4360516.5533,-9999.0
