OBJECTID,Id,Tipo,Eje_X,Eje_Y,RASTERVALU
1,754,Borde_Area_Estudio,727590.7057,4360666.5533,
2,826,Borde_Area_Estudio,727580.7057,4360676.5533,
3,827,Borde_Area_Estudio,727590.7057,4360676.5533,
4,901,Borde_Area_Estudio,727570.7057,4360686.5533,
5,902,Borde_Area_Estudio,727580.7057,4360686.5533,
6,903,Borde_Area_Estudio,727590.7057,4360686.5533,
7,980,Borde_Area_Estudio,727560.7057,4360696.5533,
8,981,Borde_Area_Estudio,727570.7057,4360696.5533,
9,982,Borde_Area_Estudio,727580.7057,4360696.5533,
10,983,Borde_Area_Estudio,727590.7057,4360696.5533,
11,1062,Borde_Area_Estudio,727550.7057,4360706.5533,
12,1063,Borde_Area_Estudio,727560.7057,4360706.5533,
13,1064,Borde_Area_Estudio,727570.7057,4360706.5533,
14,1065,Borde_Area_Estudio,727580.7057,4360706.5533,
15,1066,Borde_Area_Estudio,727590.7057,4360706.5533,
16,1151,Borde_Area_Estudio,727540.7057,4360716.5533,
17,1152,Borde_Area_Estudio,727550.7057,4360716.5533,
18,1153,Borde_Area_Estudio,727560.7057,4360716.5533,
19,1154,Borde_Area_Estudio,727570.7057,4360716.5533,
20,1155,Borde_Area_Estudio,727580.7057,4360716.5533,
21,1156,Borde_Area_Estudio,727590.7057,4360716.5533,
22,1248,Borde_Area_Estudio,727530.7057,4360726.5533,
23,1249,Borde_Area_Estudio,727540.7057,4360726.5533,
24,1250,Borde_Area_Estudio,727550.7057,4360726.5533,
25,1251,Borde_Area_Estudio,727560.7057,4360726.5533,
26,1252,Borde_Area_Estudio,727570.7057,4360726.5533,
27,1253,Borde_Area_Estudio,727580.7057,4360726.5533,
28,1254,Borde_Area_Estudio,727590.7057,4360726.5533,
29,1350,Borde_Area_Estudio,727520.7057,4360736.5533,
30,1351,Borde_Area_Estudio,727530.7057,4360736.5533,
31,1352,Borde_Area_Estudio,727540.7057,4360736.5533,
32,1353,Borde_Area_Estudio,727550.7057,4360736.5533,
33,1354,Borde_Area_Estudio,727560.7057,4360736.5533,
34,1355,Borde_Area_Estudio,727570.7057,4360736.5533,
35,1356,Borde_Area_Estudio,727580.7057,4360736.5533,
36,1357,Borde_Area_Estudio,727590.7057,4360736.5533,
37,1458,Borde_Area_Estudio,727510.7057,4360746.5533,
38,1459,Borde_Area_Estudio,727520.7057,4360746.5533,
39,1460,Borde_Area_Estudio,727530.7057,4360746.5533,
40,1461,Borde_Area_Estudio,727540.7057,4360746.5533,
41,1462,Borde_Area_Estudio,727550.7057,4360746.5533,
42,1463,Borde_Area_Estudio,727560.7057,4360746.5533,
43,1464,Borde_Area_Estudio,727570.7057,4360746.5533,
